time_stamp	px_state	py_state	v_state	yaw_state	yaw_rate_state	sensor type	NIS
1477010443000000	0.312243	0.58034	0	0	0	0	0
1477010443050000	0.735292	0.629424	7.20493	-1.53752e-17	-4.7012e-17	1	74.6446
1477010443100000	1.1605	0.49494	7.20802	-0.127184	-0.0118688	0	0.220945
1477010443150000	1.25799	0.533093	7.19319	0.122653	0.0307136	1	1.82505
1477010443200000	1.61584	0.595357	7.20672	0.161502	0.0463963	0	0.167274
1477010443250000	1.85112	0.56196	6.00794	0.0256271	-0.234011	1	7.66154
1477010443300000	2.16288	0.591356	6.00761	0.0402697	-0.178005	0	0.253517
1477010443350000	2.37876	0.637349	5.60176	0.0564996	-0.338651	1	6.22704
1477010443400000	2.65588	0.654514	5.59928	0.0452565	-0.317229	0	0.00805294
1477010443450000	2.92235	0.648156	5.53358	-0.00227934	-0.469376	1	0.401544
1477010443500000	3.15809	0.643866	5.4892	-0.0156173	-0.434828	0	1.19453
1477010443550000	3.4437	0.539844	5.52254	-0.164378	-0.85115	1	1.27296
1477010443600000	3.74681	0.427354	5.5902	-0.283836	-1.07537	0	2.09151
1477010443650000	4.02757	0.511918	5.55134	-0.145754	-0.545195	1	4.15138
1477010443700000	4.30141	0.504041	5.53271	-0.138469	-0.461252	0	0.37021
1477010443750000	4.56185	0.540536	5.44636	-0.0973194	-0.322611	1	2.05938
1477010443800000	4.75089	0.647775	5.28064	0.00463566	-0.0729914	0	12.8487
1477010443850000	5.00292	0.646679	5.21065	-0.00371803	-0.0853412	1	1.85201
1477010443900000	5.30308	0.643656	5.263	-0.0104912	-0.0901007	0	2.46199
1477010443950000	5.56114	0.651461	5.2859	-0.00423635	-0.0679265	1	1.74634
1477010444000000	5.85441	0.668094	5.3207	0.00447309	-0.0468646	0	1.57714
1477010444050000	6.09718	0.593326	5.25254	-0.0521802	-0.143037	1	3.6773
1477010444100000	6.35229	0.709297	5.22584	0.0276809	0.000840736	0	3.94795
1477010444150000	6.6028	0.741371	5.18556	0.043091	0.0242787	1	0.608733
1477010444200000	6.84973	0.740121	5.17189	0.0367617	0.012482	0	0.281882
1477010444250000	7.09323	0.722295	5.09041	0.0185132	-0.0207242	1	2.97462
1477010444300000	7.31275	0.809824	5.04269	0.0688737	0.059113	0	3.14378
1477010444350000	7.60379	0.821322	5.14828	0.0679268	0.0544086	1	4.37786
1477010444400000	7.85368	0.798216	5.13989	0.0465826	0.0177374	0	0.538879
1477010444450000	8.10361	0.815548	5.084	0.0492734	0.0178999	1	2.35604
1477010444500000	8.34059	0.834139	5.06301	0.0542957	0.0244091	0	0.451588
1477010444550000	8.60776	0.930078	5.15207	0.105081	0.103102	1	6.91362
1477010444600000	8.84426	0.992081	5.12909	0.131174	0.135309	0	0.738673
1477010444650000	9.13253	1.03317	5.18791	0.139906	0.137311	1	6.73197
1477010444700000	9.36944	1.0655	5.16251	0.145212	0.135409	0	0.685932
1477010444750000	9.64696	1.145	5.21681	0.174269	0.168439	1	4.39931
1477010444800000	9.91779	1.2808	5.25039	0.233294	0.244655	0	2.71472
1477010444850000	10.1642	1.38624	5.19947	0.274476	0.293706	1	4.3371
1477010444900000	10.3887	1.46404	5.1693	0.294763	0.303081	0	1.01656
1477010444950000	10.6181	1.5665	5.09201	0.332353	0.346402	1	3.60143
1477010445000000	10.846	1.58308	5.05367	0.312673	0.292065	0	1.79505
1477010445050000	11.1115	1.63525	5.09632	0.306646	0.25741	1	2.19311
1477010445100000	11.3931	1.66718	5.12727	0.288301	0.209886	0	2.24499
1477010445150000	11.6242	1.72807	5.08211	0.294984	0.207287	1	0.909106
1477010445200000	11.8553	1.78556	5.06086	0.297111	0.195398	0	0.398055
1477010445250000	12.1097	1.87927	5.12091	0.312572	0.199	1	1.34942
1477010445300000	12.3558	1.89421	5.09586	0.28603	0.145166	0	0.907251
1477010445350000	12.6122	1.95171	5.13942	0.28045	0.121713	1	1.00569
1477010445400000	12.8101	2.09396	5.11125	0.332456	0.189834	0	3.11777
1477010445450000	13.0757	2.20254	5.20461	0.346341	0.187351	1	3.42761
1477010445500000	13.2775	2.34782	5.17977	0.392759	0.242212	0	2.26184
1477010445550000	13.4532	2.5131	5.079	0.458638	0.335399	1	10.339
1477010445600000	13.7042	2.61751	5.10391	0.465822	0.320768	0	0.917251
1477010445650000	13.9225	2.73735	5.08824	0.486814	0.330557	1	0.14601
1477010445700000	14.151	2.88552	5.11181	0.516682	0.349297	0	0.382857
1477010445750000	14.4027	2.98968	5.17544	0.506149	0.293555	1	1.70946
1477010445800000	14.6136	3.04978	5.11308	0.489708	0.250293	0	2.44488
1477010445850000	14.8436	3.20529	5.17513	0.512958	0.256395	1	3.68414
1477010445900000	15.0492	3.40019	5.20281	0.563463	0.310313	0	0.862531
1477010445950000	15.2573	3.57532	5.19606	0.6038	0.354281	1	2.37049
1477010446000000	15.471	3.75887	5.22516	0.637917	0.377122	0	0.455672
1477010446050000	15.683	3.89367	5.21144	0.644739	0.359938	1	1.08685
1477010446100000	15.908	4.02724	5.21015	0.646341	0.336537	0	0.331756
1477010446150000	16.1007	4.19802	5.17066	0.682416	0.380758	1	1.71884
1477010446200000	16.2985	4.38923	5.19419	0.713732	0.397572	0	0.250701
1477010446250000	16.5092	4.55303	5.21106	0.722899	0.377842	1	0.70798
1477010446300000	16.6891	4.71616	5.18758	0.740825	0.377199	0	0.474591
1477010446350000	16.8354	4.92433	5.11422	0.80717	0.480727	1	4.16351
1477010446400000	16.9989	5.14573	5.1402	0.849115	0.505195	0	0.292624
1477010446450000	17.1678	5.32098	5.11429	0.868778	0.503138	1	1.78059
1477010446500000	17.3292	5.49442	5.08772	0.884879	0.491548	0	0.28814
1477010446550000	17.4838	5.66952	5.04617	0.906992	0.498446	1	3.2593
1477010446600000	17.6835	5.78055	4.98133	0.882583	0.432672	0	2.37114
1477010446650000	17.8231	5.98472	4.95642	0.923734	0.477315	1	0.869419
1477010446700000	18.0002	6.16686	4.9596	0.930729	0.453818	0	0.876059
1477010446750000	18.1487	6.3772	4.97739	0.954481	0.452345	1	0.654885
1477010446800000	18.2694	6.61203	4.99978	0.995178	0.47661	0	0.347567
1477010446850000	18.3995	6.82968	5.00224	1.02448	0.487478	1	0.172218
1477010446900000	18.5527	6.95819	4.91048	1.0104	0.437945	0	2.49702
1477010446950000	18.7042	7.1625	4.93845	1.01212	0.393246	1	0.726811
1477010447000000	18.9087	7.29128	4.88138	0.976874	0.320317	0	4.16863
1477010447050000	18.9923	7.50006	4.82081	1.03004	0.399458	1	4.10097
1477010447100000	19.0806	7.76347	4.87304	1.08066	0.440191	0	1.05196
1477010447150000	19.2026	7.96994	4.87291	1.09198	0.419219	1	0.333918
1477010447200000	19.2813	8.18516	4.85303	1.12459	0.435372	0	1.34299
1477010447250000	19.3818	8.39482	4.8524	1.13551	0.406229	1	2.30411
1477010447300000	19.48	8.53974	4.74896	1.13526	0.381645	0	3.97623
1477010447350000	19.5699	8.74972	4.72769	1.16136	0.400915	1	0.579343
1477010447400000	19.737	8.91785	4.69547	1.1372	0.34309	0	4.15492
1477010447450000	19.8074	9.14202	4.67819	1.17929	0.39613	1	1.05514
1477010447500000	19.9396	9.36466	4.70614	1.18147	0.372055	0	2.97278
1477010447550000	19.9797	9.59231	4.6705	1.24075	0.458397	1	2.58603
1477010447600000	20.0663	9.8307	4.69957	1.26185	0.455282	0	0.753341
1477010447650000	20.1276	10.0791	4.74238	1.28485	0.439728	1	7.19655
1477010447700000	20.1732	10.3516	4.79972	1.32471	0.461432	0	0.849964
1477010447750000	20.1851	10.5923	4.78194	1.38226	0.530702	1	2.5964
1477010447800000	20.2425	10.8629	4.83723	1.40857	0.528428	0	2.03205
1477010447850000	20.2727	11.1194	4.86902	1.43293	0.511144	1	4.92542
1477010447900000	20.3066	11.3565	4.8637	1.45618	0.50846	0	0.010427
